subject_id	trial	response_type	probability
1	0	0	0.0011016878
1	1	0	0.0009669099
1	2	0	0.0009669014
1	3	0	0.00096690137
1	4	0	0.00096690137
1	5	0	0.0009669014
1	6	0	0.00096690137
1	7	0	0.0009669014
1	8	0	0.00096690137
1	9	0	0.00096690137
1	10	0	0.0009669014
1	11	0	0.00096690137
1	12	0	0.0009669014
1	13	0	0.0009669014
1	14	0	0.0009669014
1	15	0	0.0009669014
1	16	0	0.0009669014
1	17	0	0.00096690137
1	18	0	0.00096690137
1	19	0	0.00096690137
1	20	0	0.00096690137
1	21	0	0.0009669014
1	22	0	0.0009669014
1	23	0	0.0009669014
1	24	0	0.0009669014
2	0	0	0.0011016878
2	1	0	0.0009669099
2	2	0	0.0009669014
2	3	0	0.00096690137
2	4	0	0.00096690137
2	5	0	0.0009669014
2	6	0	0.00096690137
2	7	0	0.0009669014
2	8	0	0.00096690137
2	9	0	0.00096690137
2	10	0	0.0009669014
2	11	0	0.00096690137
2	12	0	0.0009669014
2	13	0	0.0009669014
2	14	0	0.0009669014
2	15	0	0.0009669014
2	16	0	0.0009669014
2	17	0	0.00096690137
2	18	0	0.00096690137
2	19	0	0.00096690137
2	20	0	0.00096690137
2	21	0	0.0009669014
2	22	0	0.0009669014
2	23	0	0.0009669014
2	24	0	0.0009669014
3	0	0	0.0011016878
3	1	0	0.0009669099
3	2	0	0.0009669014
3	3	0	0.00096690137
3	4	0	0.00096690137
3	5	0	0.0009669014
3	6	0	0.00096690137
3	7	0	0.0009669014
3	8	0	0.00096690137
3	9	0	0.00096690137
3	10	0	0.0009669014
3	11	0	0.00096690137
3	12	0	0.0009669014
3	13	0	0.0009669014
3	14	0	0.0009669014
3	15	0	0.0009669014
3	16	0	0.0009669014
3	17	0	0.00096690137
3	18	0	0.00096690137
3	19	0	0.00096690137
3	20	0	0.00096690137
3	21	0	0.0009669014
3	22	0	0.0009669014
3	23	0	0.0009669014
3	24	0	0.0009669014
4	0	0	0.0011016878
4	1	0	0.0009669099
4	2	0	0.0009669014
4	3	0	0.00096690137
4	4	0	0.00096690137
4	5	0	0.0009669014
4	6	0	0.00096690137
4	7	0	0.0009669014
4	8	0	0.00096690137
4	9	0	0.00096690137
4	10	0	0.0009669014
4	11	0	0.00096690137
4	12	0	0.0009669014
4	13	0	0.0009669014
4	14	0	0.0009669014
4	15	0	0.0009669014
4	16	0	0.0009669014
4	17	0	0.00096690137
4	18	0	0.00096690137
4	19	0	0.00096690137
4	20	0	0.00096690137
4	21	0	0.0009669014
4	22	0	0.0009669014
4	23	0	0.0009669014
4	24	0	0.0009669014
5	0	0	0.0011016878
5	1	0	0.0009669099
5	2	0	0.0009669014
5	3	0	0.00096690137
5	4	0	0.00096690137
5	5	0	0.0009669014
5	6	0	0.00096690137
5	7	0	0.0009669014
5	8	0	0.00096690137
5	9	0	0.00096690137
5	10	0	0.0009669014
5	11	0	0.00096690137
5	12	0	0.0009669014
5	13	0	0.0009669014
5	14	0	0.0009669014
5	15	0	0.0009669014
5	16	0	0.0009669014
5	17	0	0.00096690137
5	18	0	0.00096690137
5	19	0	0.00096690137
5	20	0	0.00096690137
5	21	0	0.0009669014
5	22	0	0.0009669014
5	23	0	0.0009669014
5	24	0	0.0009669014
6	0	0	0.0011016878
6	1	0	0.0009669099
6	2	0	0.0009669014
6	3	0	0.00096690137
6	4	0	0.00096690137
6	5	0	0.0009669014
6	6	0	0.00096690137
6	7	0	0.0009669014
6	8	0	0.00096690137
6	9	0	0.00096690137
6	10	0	0.0009669014
6	11	0	0.00096690137
6	12	0	0.0009669014
6	13	0	0.0009669014
6	14	0	0.0009669014
6	15	0	0.0009669014
6	16	0	0.0009669014
6	17	0	0.00096690137
6	18	0	0.00096690137
6	19	0	0.00096690137
6	20	0	0.00096690137
6	21	0	0.0009669014
6	22	0	0.0009669014
6	23	0	0.0009669014
6	24	0	0.0009669014
7	0	0	0.0011016878
7	1	0	0.0009669099
7	2	0	0.0009669014
7	3	0	0.00096690137
7	4	0	0.00096690137
7	5	0	0.0009669014
7	6	0	0.00096690137
7	7	0	0.0009669014
7	8	0	0.00096690137
7	9	0	0.00096690137
7	10	0	0.0009669014
7	11	0	0.00096690137
7	12	0	0.0009669014
7	13	0	0.0009669014
7	14	0	0.0009669014
7	15	0	0.0009669014
7	16	0	0.0009669014
7	17	0	0.00096690137
7	18	0	0.00096690137
7	19	0	0.00096690137
7	20	0	0.00096690137
7	21	0	0.0009669014
7	22	0	0.0009669014
7	23	0	0.0009669014
7	24	0	0.0009669014
8	0	0	0.0011016878
8	1	0	0.0009669099
8	2	0	0.0009669014
8	3	0	0.00096690137
8	4	0	0.00096690137
8	5	0	0.0009669014
8	6	0	0.00096690137
8	7	0	0.0009669014
8	8	0	0.00096690137
8	9	0	0.00096690137
8	10	0	0.0009669014
8	11	0	0.00096690137
8	12	0	0.0009669014
8	13	0	0.0009669014
8	14	0	0.0009669014
8	15	0	0.0009669014
8	16	0	0.0009669014
8	17	0	0.00096690137
8	18	0	0.00096690137
8	19	0	0.00096690137
8	20	0	0.00096690137
8	21	0	0.0009669014
8	22	0	0.0009669014
8	23	0	0.0009669014
8	24	0	0.0009669014
9	0	0	0.0011016878
9	1	0	0.0009669099
9	2	0	0.0009669014
9	3	0	0.00096690137
9	4	0	0.00096690137
9	5	0	0.0009669014
9	6	0	0.00096690137
9	7	0	0.0009669014
9	8	0	0.00096690137
9	9	0	0.00096690137
9	10	0	0.0009669014
9	11	0	0.00096690137
9	12	0	0.0009669014
